VSC8572,,,
Pin,Unit,Type,Name
A1,POWER,NC,NC
A2,POWER,NC,RSVD
A3,POWER,NC,RSVD
A4,POWER,NC,RSVD
A5,POWER,NC,RSVD
A6,POWER,NC,RSVD
A7,POWER,NC,RSVD
A8,POWER,NC,RSVD
A9,POWER,NC,RSVD
A10,OTHER,BI,TXVPA_1
A11,OTHER,BI,TXVPB_1
A12,OTHER,BI,TXVPC_1
A13,OTHER,BI,TXVPD_1
A14,OTHER,BI,TXVPA_0
A15,OTHER,BI,TXVPB_0
A16,POWER,NC,NC
B1,POWER,PWR,VSS
B2,POWER,NC,RSVD
B3,POWER,NC,RSVD
B4,POWER,NC,RSVD
B5,POWER,NC,RSVD
B6,POWER,NC,RSVD
B7,POWER,NC,RSVD
B8,POWER,NC,RSVD
B9,POWER,NC,RSVD
B10,OTHER,BI,TXVNA_1
B11,OTHER,BI,TXVNB_1
B12,POWER,NC,TXVNC_1
B13,OTHER,BI,TXVND_1
B14,OTHER,BI,TXVNA_0
B15,OTHER,BI,TXVNB_0
B16,POWER,PWR,VSS
C1,OTHER,BI,REFCLK_N
C2,POWER,PWR,AVDD_2V5
C3,OTHER,BI,THERMDA
C4,POWER,PWR,AVDD_2V5
C5,POWER,PWR,VSS
C6,POWER,PWR,AVDD_2V5
C7,POWER,PWR,AVDD_1V
C8,POWER,PWR,AVDD_1V
C9,POWER,PWR,AVDD_1V
C10,POWER,NC,RSVD
C11,POWER,PWR,AVDD_2V5
C12,POWER,PWR,VSS
C13,POWER,PWR,AVDD_1V
C14,POWER,PWR,AVDD_2V5
C15,POWER,NC,TXVNC
C16,OTHER,BI,TXVPC_0
D1,OTHER,BI,REFCLK_P
D2,POWER,PWR,THERMDC_VSS
D3,OTHER,BI,REF_FILT_A
D4,OTHER,BI,REF_REXT_A
D5,POWER,PWR,VSS
D6,POWER,PWR,VSS
D7,POWER,PWR,VSS
D8,POWER,PWR,VSS
D9,POWER,PWR,VSS
D10,POWER,PWR,VSS
D11,POWER,PWR,VSS
D12,POWER,PWR,VSS
D13,POWER,NC,RSVD
D14,RGMII,BI,RGMII0_TXD3
D15,OTHER,BI,TXVND_0
D16,OTHER,BI,TXVPD_0
E1,OTHER,BI,REFCLK_SEL2
E2,OTHER,BI,TMS
E3,OTHER,BI,TRST
E4,POWER,PWR,AVDD_2V5
E5,POWER,PWR,VDD_1V
E6,POWER,PWR,VSS
E7,POWER,PWR,VSS
E8,POWER,PWR,VSS
E9,POWER,PWR,VSS
E10,POWER,PWR,VSS
E11,POWER,PWR,VSS
E12,POWER,PWR,VDD_1V
E13,POWER,PWR,AVDD_2V5
E14,RGMII,BI,RGMII0_TXD2
E15,OTHER,BI,CLK_SQUELCH_IN
E16,OTHER,BI,1588_SPI_CLK
F1,OTHER,BI,TDO
F2,OTHER,BI,TDI
F3,OTHER,BI,TCK
F4,POWER,PWR,VSS
F5,POWER,PWR,VDD_1V
F6,POWER,PWR,VSS
F7,POWER,PWR,VSS
F8,POWER,PWR,VSS
F9,POWER,PWR,VSS
F10,POWER,PWR,VSS
F11,POWER,PWR,VSS
F12,POWER,PWR,VDD_1V
F13,RGMII,BI,RGMII0_TXD1
